,Oddball EBR (blink/min),Resting EBR (blink/min),Oddball LIBIV,Resting LIBIV,Oddball Mean Amplitude (µV),Resting Mean Amplitude (µV),Oddball Mean Duration (ms),Resting Mean Duration (ms),Oddball Mean Fall Time (ms),Resting Mean Fall Time (ms),Oddball Mean Rise Time (ms),Resting Mean Rise Time (ms)
count,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
mean,18.838937054385283,19.107473906505366,0.8250985066081646,0.8656786326764246,413.5863419074105,456.72159131250964,547.478980475713,533.9859859960072,286.8715436961187,278.7614550494056,260.60743677959425,255.22453094660167
std,6.278491537284606,7.309149649096521,0.22014582433470964,0.2448812753773117,203.95484634112694,195.03030448590164,59.82830292814459,50.30445212640995,35.24204229247786,26.6423422285464,28.54399687010184,27.360310034241216
min,8.0,7.0,0.4977443241229913,0.4278027246905584,46.4351475710204,107.85530253719304,479.4921875,477.89115646258506,246.76513671875,243.22916666666663,232.72705078125,230.2827380952381
25%,13.833333333333334,13.333333333333334,0.7082234676811211,0.7374248112939056,226.36146269539503,289.7253521641277,513.4477459016393,504.4177827380952,264.83319256756755,260.04464285714283,244.94108606557376,244.3731398809524
50%,20.0,19.0,0.778644392951989,0.831977218331981,444.74569028555146,458.5767637038583,530.1177536231884,527.6346409574468,277.6509831460674,273.4882305194805,256.0416666666667,248.62938596491227
75%,23.0,25.0,0.9355947744058888,0.96430467770274,575.6131144833357,556.4433947249229,561.1458333333334,544.8190789473684,305.1041666666667,296.18969298245617,267.8125,254.57974137931035
max,29.166666666666668,32.22857142857143,1.3412598094949637,1.4286283047015644,757.1543515511565,909.3980742466756,723.3195754716982,716.6940789473684,363.50235849056605,352.79605263157896,359.81721698113205,363.8980263157895
cv_percent,33.32720693932736,38.25283072404476,26.6811565614984,28.287780954025695,49.313728640194384,42.70223002276524,10.927963458279045,9.420556614904514,12.28495578139655,9.557398178964345,10.952871193097454,10.720094158960592
