,,Uncorrected,Uncorrected,Uncorrected,Uncorrected,Corrected,Corrected,Corrected,Corrected
,,"OR, median (CI 95%)",p,Nagelkerke R2,AUC,"OR, median (CI 95%)",p,Nagelkerke R2,AUC
Feature,Condition,,,,,,,,
EBR (blink/min),Resting,"0.678 (0.355, 1.295)",0.240,0.047,0.605,"0.538 (0.237, 1.222)",0.138,0.503,0.86
EBR (blink/min),Oddball,"0.508 (0.253, 1.022)",0.057◆,0.128,0.693,"0.53 (0.226, 1.244)",0.145,0.5,0.862
LIBIV,Resting,"1.238 (0.658, 2.328)",0.509,0.015,0.554,"1.088 (0.483, 2.451)",0.838,0.453,0.86
LIBIV,Oddball,"1.701 (0.858, 3.373)",0.128,0.083,0.657,"1.78 (0.761, 4.164)",0.184,0.492,0.862
Mean Amplitude (µV),Resting,"0.385 (0.173, 0.855)",0.019*,0.214,0.739,"0.669 (0.266, 1.682)",0.392,0.468,0.855
Mean Amplitude (µV),Oddball,"0.412 (0.196, 0.865)",0.019*,0.201,0.737,"0.985 (0.342, 2.839)",0.978,0.452,0.865
Mean Duration (ms),Resting,"2.479 (1.078, 5.703)",0.033*,0.189,0.734,"2.894 (1.145, 7.316)",0.025*,0.579,0.895
Mean Duration (ms),Oddball,"1.777 (0.897, 3.519)",0.099◆,0.097,0.672,"1.96 (0.836, 4.596)",0.122,0.506,0.872
Mean Rise Time (ms),Resting,"3.172 (1.17, 8.6)",0.023*,0.245,0.855,"2.521 (1.078, 5.895)",0.033*,0.562,0.907
Mean Rise Time (ms),Oddball,"2.255 (1.035, 4.915)",0.041*,0.164,0.729,"2.122 (0.904, 4.98)",0.084◆,0.524,0.887
Mean Fall Time (ms),Resting,"1.68 (0.864, 3.265)",0.126,0.081,0.632,"2.576 (0.986, 6.734)",0.054◆,0.543,0.887
Mean Fall Time (ms),Oddball,"1.323 (0.703, 2.49)",0.385,0.025,0.559,"1.503 (0.626, 3.608)",0.362,0.471,0.855
